Frame ordinal,Time (s),"displacement (vertical, cm)","displacement (horizontal, cm)","velocity (vertical, m/s)","velocity (horizontal, m/s)","acceleration (vertical, m/s^2)","acceleration (horizontal, m/s^2)","power (vertical, kW)","power (horizontal, kW)","force (vertical, kN)","force (horizontal, kN)"
175,41.684,5.14,-34.86,0.03,-0.06,0.09,0.42,0.04,0.00,1.41,0.06
176,41.717,5.23,-35.03,0.03,-0.04,0.03,0.33,0.04,0.00,1.41,0.05
177,41.750,5.30,-35.12,0.03,-0.03,0.03,0.04,0.04,0.00,1.41,0.01
178,41.784,5.40,-35.16,0.03,-0.03,0.01,-0.36,0.04,0.00,1.40,0.00
179,41.817,5.53,-35.26,0.03,-0.06,-0.05,-0.57,0.04,0.00,1.39,0.00
180,41.851,5.64,-35.51,0.03,-0.08,-0.03,-0.34,0.04,0.00,1.40,0.00
181,41.884,5.70,-35.88,0.02,-0.09,0.13,0.24,0.03,0.00,1.42,0.03
182,41.917,5.75,-36.23,0.03,-0.07,0.34,0.75,0.05,0.00,1.45,0.11
183,41.950,5.87,-36.39,0.05,-0.03,0.42,0.83,0.07,0.00,1.46,0.12
184,41.984,6.10,-36.35,0.07,0.00,0.28,0.46,0.10,0.00,1.44,0.07
185,42.017,6.37,-36.26,0.07,0.01,0.04,-0.05,0.10,0.00,1.41,0.00
186,42.050,6.62,-36.25,0.07,-0.01,-0.11,-0.34,0.09,0.00,1.39,0.00
187,42.084,6.81,-36.32,0.06,-0.03,-0.13,-0.26,0.08,0.00,1.38,0.00
188,42.117,6.98,-36.45,0.06,-0.03,-0.10,0.03,0.08,0.00,1.39,0.00
189,42.151,7.18,-36.58,0.06,-0.02,-0.11,0.29,0.08,0.00,1.39,0.04
190,42.184,7.39,-36.63,0.05,-0.01,-0.15,0.37,0.07,0.00,1.38,0.05
191,42.217,7.53,-36.59,0.04,0.01,-0.21,0.28,0.06,0.00,1.37,0.04
192,42.251,7.65,-36.54,0.04,0.01,-0.28,0.11,0.05,0.00,1.36,0.02
193,42.284,7.79,-36.49,0.03,0.01,-0.37,-0.07,0.04,0.00,1.35,0.00
194,42.317,7.88,-36.44,0.01,0.01,-0.47,-0.19,0.02,0.00,1.34,0.00
195,42.351,7.87,-36.41,-0.01,-0.00,-0.50,-0.19,0.00,0.00,1.33,0.00
196,42.384,7.82,-36.44,-0.02,-0.01,-0.41,-0.06,0.00,0.00,1.34,0.00
197,42.417,7.72,-36.50,-0.04,-0.01,-0.23,0.11,0.00,0.00,1.37,0.02
198,42.450,7.57,-36.53,-0.04,0.00,-0.04,0.18,0.00,0.00,1.40,0.03
199,42.484,7.41,-36.48,-0.04,0.01,0.08,0.08,0.00,0.00,1.41,0.01
200,42.518,7.32,-36.41,-0.03,0.01,0.09,-0.08,0.00,0.00,1.41,0.00
201,42.551,7.24,-36.38,-0.03,0.00,0.05,-0.16,0.00,0.00,1.41,0.00
202,42.584,7.14,-36.41,-0.03,-0.00,0.03,-0.14,0.00,0.00,1.41,0.00
203,42.617,7.03,-36.45,-0.03,-0.01,0.04,-0.10,0.00,0.00,1.41,0.00
204,42.651,6.93,-36.45,-0.02,-0.01,0.01,-0.10,0.00,0.00,1.40,0.00
205,42.684,6.88,-36.47,-0.02,-0.01,-0.10,-0.07,0.00,0.00,1.39,0.00
206,42.717,6.81,-36.55,-0.03,-0.02,-0.21,0.04,0.00,0.00,1.37,0.01
207,42.751,6.68,-36.64,-0.04,-0.01,-0.21,0.17,0.00,0.00,1.37,0.02
208,42.784,6.51,-36.67,-0.05,-0.00,-0.09,0.20,0.00,0.00,1.39,0.03
209,42.817,6.33,-36.62,-0.05,0.00,0.11,0.12,0.00,0.00,1.42,0.02
210,42.851,6.16,-36.59,-0.04,0.01,0.27,0.04,0.00,0.00,1.44,0.01
211,42.884,6.03,-36.60,-0.03,0.00,0.32,0.04,0.00,0.00,1.45,0.01
212,42.918,5.97,-36.59,-0.02,0.01,0.26,0.06,0.00,0.00,1.44,0.01
213,42.951,5.96,-36.56,-0.01,0.01,0.20,0.03,0.00,0.00,1.43,0.00
214,42.984,5.92,-36.50,-0.01,0.01,0.20,-0.04,0.00,0.00,1.43,0.00
215,43.017,5.88,-36.46,0.00,0.01,0.23,-0.06,0.00,0.00,1.43,0.00
216,43.051,5.90,-36.47,0.01,0.00,0.21,-0.02,0.02,0.00,1.43,0.00
217,43.084,5.98,-36.47,0.02,0.01,0.11,0.02,0.03,0.00,1.42,0.00
218,43.118,6.05,-36.43,0.02,0.01,-0.01,-0.02,0.03,0.00,1.40,0.00
